"Vandområde","Lokalitetsnavn","Dato","ODA_prøvenummer","ObsSted_bredde","ObsSted_længde","Artsnavn","Artsrække","Antal_stk","Biomasse_vådvægt_g","year","Depth_m"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",6,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,50"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",32,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","1,80"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",9,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,50"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",23,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,80"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",40,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,00"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",20,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,50"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",26,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,50"
"Guldborgsund","Guldborg Sund Bredning","2013-05-21",3,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2013","2,30"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",27,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,00"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",1,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,50"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",31,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,70"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",37,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,60"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",7,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,70"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",18,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,70"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",10,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,80"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",28,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,20"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",15,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,80"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",34,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,30"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",30,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","1,80"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",12,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","3,20"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",17,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,80"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",36,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,40"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",24,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,50"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",39,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,10"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",14,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","3,00"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",20,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,50"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",42,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,30"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",4,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,60"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",33,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,70"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",2,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,60"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",5,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,30"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",8,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,70"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",11,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","3,00"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",13,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","3,00"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",21,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","3,00"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",22,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,60"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",25,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","3,00"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",29,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,10"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",32,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,50"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",35,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,90"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",40,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,50"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",3,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,70"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",6,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,90"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",9,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,60"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",16,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","3,00"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",19,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,60"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",23,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,10"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",26,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,90"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",38,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,80"
"Guldborgsund","Guldborg Sund Bredning","2015-03-17",41,"5442,429","1151,764","Actinia sp.","Ej kendt",0,"0","2015","2,20"
